,name,username,license,tags,freesound_id,path
0,Roland JX-8P - Slow Bass - D#3 (51D#2-30U1.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-8P', 'midi-note-51', 'DSharp3']",309684,files/309684_2050105-hq.ogg
1,Roland JX-8P - Bonus Bass - F1 (30F#0-JP7Q.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-8P', 'midi-note-30', 'F1']",307802,files/307802_2050105-hq.ogg
2,Roland JX-8P - Sensitive Sync - C#2 (37C#1-30RT.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-8P', 'midi-note-37', 'CSharp2', 'midi-velocity-44']",308950,files/308950_2050105-hq.ogg
3,Roland JX-8P - Sensitive Square - D3 (50D2-KRMY.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-8P', 'midi-note-50', 'D3', 'midi-velocity-55']",308829,files/308829_2050105-hq.ogg
4,Roland JX-8P - Proto Filter - E6 (88E5-0PN5.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-8P', 'midi-note-88', 'E6']",308411,files/308411_2050105-hq.ogg
5,Roland JX-8P - Vulgar - C#6 (85C#5-VF2Y.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-8P', 'midi-note-85', 'CSharp6']",309962,files/309962_2050105-hq.ogg
6,Roland JX-8P - Thin Brassy - E2 (40E1-0VFX.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-8P', 'midi-note-40', 'E2']",309795,files/309795_2050105-hq.ogg
7,Roland JX-8P - Buzzy Lead - B2 (47B1-GCW4.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-8P', 'midi-note-47', 'B2']",307868,files/307868_2050105-hq.ogg
8,Roland JX-8P - Look Ma No Chorus - F#3 (55G2-LVHI.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-8P', 'midi-note-55', 'FSharp3', 'midi-velocity-16']",308117,files/308117_2050105-hq.ogg
9,Roland JX-8P - Sample & Hold it - C#2 (37C#1-KXMQ.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-8P', 'midi-note-37', 'CSharp2', 'midi-velocity-8']",308426,files/308426_2050105-hq.ogg
10,Roland JX-8P - Under rated - C2 (36C1-3VXO.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-8P', 'midi-note-36', 'C2']",309852,files/309852_2050105-hq.ogg
11,Roland JX-8P - Weird Mod - C#2 (37C#1-1Z6F.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-8P', 'midi-note-37', 'CSharp2', 'midi-velocity-16']",309976,files/309976_2050105-hq.ogg
12,Roland JX-8P - Noisy Decade - C#2 (37C#1-X2Z3.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-8P', 'midi-note-37', 'CSharp2']",308299,files/308299_2050105-hq.ogg
13,Roland JX-8P - Synthetic - C#2 (37C#1-3MX9.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-8P', 'midi-note-37', 'CSharp2']",309731,files/309731_2050105-hq.ogg
14,Roland JX-8P - Dark Pad Chorus - C2 (36C1-PR2U.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-8P', 'midi-note-36', 'C2']",307918,files/307918_2050105-hq.ogg
15,Roland JX-8P - Dark Pad Detune - C2 (36C1-XQKV.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-8P', 'midi-note-36', 'C2']",307979,files/307979_2050105-hq.ogg
16,Roland JX-8P - Mod Pad - C2 (36C1-KLUO.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-8P', 'midi-note-36', 'C2']",308237,files/308237_2050105-hq.ogg
17,18C#5.wav,insky60,http://creativecommons.org/licenses/sampling+/1.0/,"['analog', 'jx-8p', 'lead', 'synth']",20372,files/20372_28848-hq.ogg
18,Logan's Run,drriquet,http://creativecommons.org/publicdomain/zero/1.0/,"['sci-fi', 'fx', 'ambient', 'space', 'analog', 'Roland', 'JX8P', 'synth']",135144,files/135144_615581-hq.ogg
19,The Hitchhiker.wav,drriquet,http://creativecommons.org/publicdomain/zero/1.0/,"['Sci-Fi', 'UFO', 'FX', 'Weird', 'Analog', 'JX8P', 'Roland', 'Synth', 'Filter', 'Scary', 'Ambient', 'Movie', 'Space', 'Creepy', 'Machine', 'Strange', 'LFO', '80s', 'Soundscape', 'Spaceship']",135166,files/135166_615581-hq.ogg
20,jkh8899.wav,patchen,https://creativecommons.org/licenses/by/4.0/,"['analog', 'instrument', 'instrumental', 'lo-fi', 'lofi', 'loop', 'noisy', 'synth']",3501,files/3501_6997-hq.ogg
21,Bassesland 05 Picked Bass,syntheway,http://creativecommons.org/publicdomain/zero/1.0/,"['vst-plugin', 'vst', 'electric', 'midi', 'bass-vst', 'basses', 'virtual-bass', 'synthesizer', 'picked-bass', 'synth', 'electro', 'bass']",344922,files/344922_3546642-hq.ogg
22,Roland JX-3P - SqrSyn - C#2 (37C#1-8GID.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-37', 'CSharp2']",307475,files/307475_2050105-hq.ogg
23,Roland JX-3P - Brassy - F4 (0-QC8H.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-66', 'F4']",306105,files/306105_2050105-hq.ogg
24,Roland JX-3P - Rave Stabbing - F3 (0-GW8G.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-54', 'F3']",307089,files/307089_2050105-hq.ogg
25,Roland JX-3P - Simple JX - A6 (0-F8KV.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-93', 'A6']",307350,files/307350_2050105-hq.ogg
26,Roland JX-3P - SnapBass - A3 (57A2-P8EO.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-57', 'A3']",307434,files/307434_2050105-hq.ogg
27,Roland JX-3P - Little Bass - D#4 (0-PSL8.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-63', 'DSharp4']",306795,files/306795_2050105-hq.ogg
28,Roland JX-3P - Cease - C5 (0-01Q8.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-72', 'C5']",306173,files/306173_2050105-hq.ogg
29,Roland JX-3P - FunkyWhiner - F2 (42F#1-KFJ8.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-42', 'F2']",306286,files/306286_2050105-hq.ogg
30,Roland JX-3P - Airy - A#5 (82A#4-OS8H.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-82', 'ASharp5']",305999,files/305999_2050105-hq.ogg
31,Roland JX-3P - DCO Piano - C6 (0-VMH8.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-84', 'C6']",306214,files/306214_2050105-hq.ogg
32,Roland JX-3P - GasFlowers - A#5 (82A#4-T8N9.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-82', 'ASharp5']",306387,files/306387_2050105-hq.ogg
33,Roland JX-3P - InSpace - D4 (62D3-8VMG.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-62', 'D4']",306489,files/306489_2050105-hq.ogg
34,Roland JX-3P - Ivor Biggun - F2 (0-90Z8.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-42', 'F2']",306530,files/306530_2050105-hq.ogg
35,Roland JX-3P - Ivor Evan Biggurun - B2 (0-8RWP.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-47', 'B2']",306596,files/306596_2050105-hq.ogg
36,Roland JX-3P - JX Joanna - G2 (0-U8IN.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-44', 'G2']",306654,files/306654_2050105-hq.ogg
37,Roland JX-3P - Nerd Bass - A#4 (0-8WMC.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-70', 'ASharp4']",306863,files/306863_2050105-hq.ogg
38,Roland JX-3P - Pick Wobble - E#2 (41F1-M8XR.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-41', 'ESharp2']",307015,files/307015_2050105-hq.ogg
39,Roland JX-3P - Sync Down - F3 (0-UGX8.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-54', 'F3']",307553,files/307553_2050105-hq.ogg
40,Roland JX-3P - Wobble Brass - D#6 (0-Y0J8.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-87', 'DSharp6']",307791,files/307791_2050105-hq.ogg
41,Roland JX-3P - Harsher - F6 (90F#5-FNK8.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-90', 'F6']",306456,files/306456_2050105-hq.ogg
42,Roland JX-3P - On Off Strings - F#5 (0-H8PU.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-79', 'FSharp5', 'midi-velocity-96']",306975,files/306975_2050105-hq.ogg
43,Roland JX-3P - Rounder Bass - C4 (61C3-Z8ZP.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-60', 'C4']",307199,files/307199_2050105-hq.ogg
44,Roland JX-3P - S&HOne - C5 (72C4-2PR8.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-72', 'C5']",307245,files/307245_2050105-hq.ogg
45,Roland JX-3P - Simple - F3 (54F#2-8SVO.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-54', 'F3']",307288,files/307288_2050105-hq.ogg
46,Roland JX-3P - Tipsy Sync - E3 (0-4G8K.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-52', 'E3']",307673,files/307673_2050105-hq.ogg
47,Roland JX-3P - BigJX - B2 (47B1-0BS8.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-47', 'B2']",306025,files/306025_2050105-hq.ogg
48,Roland JX-3P - Rising Damp - F#2 (0-LBT8.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-43', 'FSharp2']",307139,files/307139_2050105-hq.ogg
49,Roland JX-3P - Wet - A3 (57A2-8RSS.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-57', 'A3']",307726,files/307726_2050105-hq.ogg
50,Roland JX-3P - Drunk Cat - F#2 (0-GRC8.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-43', 'FSharp2']",306226,files/306226_2050105-hq.ogg
51,Roland JX-3P - LFOfade - F3 (54F#2-V0R8.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-54', 'F3']",306725,files/306725_2050105-hq.ogg
52,Roland JX-3P - SlowOne - G2 (44G#1-KS8Y.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-44', 'G2']",307360,files/307360_2050105-hq.ogg
53,Roland JX-3P - SyncShips - E#2 (41F1-AH8V.aif),modularsamples,http://creativecommons.org/publicdomain/zero/1.0/,"['multisample', 'single-note', 'synthesizer', 'Roland-JX-3P', 'midi-note-41', 'ESharp2']",307601,files/307601_2050105-hq.ogg
54,[SEMI-RAW] P38 AC42 Shot (8),smill.and.welson,https://creativecommons.org/licenses/by/4.0/,"['ww2', 'firing', 'shoot', '9x19mm', 'ac42', '9mm', 'shot', 'germany', 'fire', 'gunshot', 'german', 'gun-shot', 'walther', 'gun', 'shooting', 'p38', 'wwii', 'great-northwest-weaponry', 'pistol', 'gunfire']",710312,files/710312_15125049-hq.ogg
55,p8b2p77_cream puff 1 [2022-09-04 123516].wav,wavtailer,https://creativecommons.org/licenses/by-nc/4.0/,"['phat', 'lowend', 'loop', 'synth', 'thick', 'bassy', 'groove', 'analog', 'prophet08']",648961,files/648961_4341480-hq.ogg
56,superwave p8 super lead cut3.wav,Calethos,http://creativecommons.org/publicdomain/zero/1.0/,"['lead', 'synth']",31119,files/31119_248225-hq.ogg
57,superwave p8 super lead cut1.wav,Calethos,http://creativecommons.org/publicdomain/zero/1.0/,"['lead', 'synth']",31131,files/31131_248225-hq.ogg
58,superwave p8 super lead cut4.wav,Calethos,http://creativecommons.org/publicdomain/zero/1.0/,"['lead', 'synth']",31132,files/31132_248225-hq.ogg
59,JX3P DistAcid1-0136.wav,MGFaudio,http://creativecommons.org/publicdomain/zero/1.0/,"['jx3p', 'distortion', 'roland', 'synth', 'analogue', 'analog']",264021,files/264021_4942436-hq.ogg
60,JX3P DistAcid1-0135.wav,MGFaudio,http://creativecommons.org/publicdomain/zero/1.0/,"['jx3p', 'distortion', 'roland', 'synth', 'analogue', 'analog']",264022,files/264022_4942436-hq.ogg
61,JX3P DistAcid1-0132.wav,MGFaudio,http://creativecommons.org/publicdomain/zero/1.0/,"['jx3p', 'distortion', 'roland', 'synth', 'analogue', 'analog']",264025,files/264025_4942436-hq.ogg
62,JX3P DistAcid1-0133.wav,MGFaudio,http://creativecommons.org/publicdomain/zero/1.0/,"['jx3p', 'distortion', 'roland', 'synth', 'analogue', 'analog']",264028,files/264028_4942436-hq.ogg
63,JX3P DistAcid1-0226.wav,MGFaudio,http://creativecommons.org/publicdomain/zero/1.0/,"['jx3p', 'distortion', 'roland', 'synth', 'analogue', 'analog']",264029,files/264029_4942436-hq.ogg
64,JX3P DistAcid1-0225.wav,MGFaudio,http://creativecommons.org/publicdomain/zero/1.0/,"['jx3p', 'distortion', 'roland', 'synth', 'analogue', 'analog']",264030,files/264030_4942436-hq.ogg
65,8 bit game loop 004  simple mix 4 short 120 bpm.wav,josefpres,http://creativecommons.org/publicdomain/zero/1.0/,"['gamemusic', 'josepres', '8-bits', '8bit', 'loops', 'electronic', 'sega', 'music', 'synth', 'gameloop', '8', 'electro', 'pres', 'bass', 'beat', 'josef', 'free', '120', 'mario', 'game', '8bitmusic', 'nintendo', 'bit', 'drum', 'bpm', 'gameboy', '8-bit', 'loop']",653797,files/653797_5674468-hq.ogg
66,8 bit game loop 011  simple mix 1 short 120 bpm.wav,josefpres,http://creativecommons.org/publicdomain/zero/1.0/,"['gamemusic', 'josepres', '8-bits', '8bit', 'loops', 'electronic', 'sega', 'music', 'synth', 'gameloop', '8', 'electro', 'pres', 'bass', 'beat', 'josef', 'free', '120', 'mario', 'game', '8bitmusic', 'nintendo', 'bit', 'drum', 'bpm', 'gameboy', '8-bit', 'loop']",657654,files/657654_5674468-hq.ogg
67,8 bit game loop 012  only bass short 120 bpm.wav,josefpres,http://creativecommons.org/publicdomain/zero/1.0/,"['gamemusic', 'josepres', '8-bits', '8bit', 'loops', 'electronic', 'sega', 'music', 'synth', 'gameloop', '8', 'electro', 'pres', 'bass', 'beat', 'josef', 'free', '120', 'mario', 'game', '8bitmusic', 'nintendo', 'bit', 'drum', 'bpm', 'gameboy', '8-bit', 'loop']",658332,files/658332_5674468-hq.ogg
68,8 bit game loop 008  only drums short 120 bpm.wav,josefpres,http://creativecommons.org/publicdomain/zero/1.0/,"['gamemusic', 'josepres', '8-bits', '8bit', 'loops', 'electronic', 'sega', 'music', 'synth', 'gameloop', '8', 'electro', 'pres', 'bass', 'beat', 'josef', 'free', '120', 'mario', 'game', '8bitmusic', 'nintendo', 'bit', 'drum', 'bpm', 'gameboy', '8-bit', 'loop']",656130,files/656130_5674468-hq.ogg
69,8 bit game loop 014  simple mix 2 short 120 bpm.wav,josefpres,http://creativecommons.org/publicdomain/zero/1.0/,"['gamemusic', 'josepres', '8-bits', '8bit', 'loops', 'electronic', 'sega', 'music', 'synth', 'gameloop', '8', 'electro', 'pres', 'bass', 'beat', 'josef', 'free', '120', 'mario', 'game', '8bitmusic', 'nintendo', 'bit', 'drum', 'bpm', 'gameboy', '8-bit', 'loop']",659016,files/659016_5674468-hq.ogg
70,8 bit game loop 005 only drums short 120 bpm.wav,josefpres,http://creativecommons.org/publicdomain/zero/1.0/,"['gamemusic', 'josepres', '8-bits', '8bit', 'loops', 'electronic', 'sega', 'music', 'synth', 'gameloop', '8', 'electro', 'pres', 'bass', 'beat', 'josef', 'free', '120', 'mario', 'game', '8bitmusic', 'nintendo', 'bit', 'drum', 'bpm', 'gameboy', '8-bit', 'loop']",655080,files/655080_5674468-hq.ogg
71,8 bit game loop 003  simple mix 1 short 120 bpm.wav,josefpres,http://creativecommons.org/publicdomain/zero/1.0/,"['gamemusic', 'josepres', '8-bits', '8bit', 'loops', 'electronic', 'sega', 'music', 'synth', 'gameloop', '8', 'electro', 'pres', 'bass', 'beat', 'josef', 'free', '120', 'mario', 'game', 'gameboy', 'nintendo', 'bit', 'drum', 'bpm', '8-bit', 'loop']",653713,files/653713_5674468-hq.ogg
